country	continent	intercept	slope	sd
Australia	Oceania	68.4005128205128	0.227723776223776	0.350140922335247
New Zealand	Oceania	68.6869230769231	0.192820979020979	0.58815849332486
Albania	Europe	59.2291282051282	0.334683216783216	3.57503001451572
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244	4.62957940962067
Iceland	Europe	71.9635897435898	0.165375524475524	0.271816434096218
Netherlands	Europe	71.8896153846154	0.136686713286713	0.109942828989195
Norway	Europe	72.2146153846154	0.131941258741258	0.21798687857597
Portugal	Europe	61.1467948717949	0.337201398601398	1.18084396906123
Sweden	Europe	71.605	0.166254545454545	0.0407687603305833
Turkey	Europe	46.0223205128205	0.49723986013986	1.19614593059969
Bolivia	Americas	38.7564487179487	0.499932167832167	1.27537240612419
Canada	Americas	68.8838461538462	0.21886923076923	0.0564770104895091
Guatemala	Americas	42.1193974358974	0.531273426573426	0.307062694744648
Haiti	Americas	39.2461538461539	0.397058041958042	0.64262456420851
Honduras	Americas	42.9924102564102	0.542851748251748	2.22453273574911
Puerto Rico	Americas	66.9485256410257	0.210574825174825	1.46331485463018
United States	Americas	68.4138461538462	0.184169230769231	0.157424965034964
Uruguay	Americas	65.7416025641026	0.183272027972027	0.258922033587629
Botswana	Africa	52.9291153846154	0.0606685314685308	33.9624652008899
Gambia	Africa	28.4003717948718	0.581825874125873	1.19717841121002
Guinea	Africa	31.5569871794872	0.424830769230769	1.30014675291377
Guinea-Bissau	Africa	31.7370384615385	0.271753146853147	0.376431854736172
Mauritius	Africa	55.3707692307692	0.348453846153846	2.75304126223775
Reunion	Africa	53.9975384615385	0.459880419580419	2.41392937539732
Sierra Leone	Africa	30.8832051282051	0.214034965034965	0.617925208730663
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794	47.1983922812036
Afghanistan	Asia	29.9072948717949	0.275328671328671	1.35928222525959
Bangladesh	Asia	36.1354871794872	0.498130769230769	0.867204525641023
Hong Kong, China	Asia	63.428641025641	0.365970629370629	1.24001187115914
Israel	Asia	66.3004102564103	0.267106293706294	0.12160529773257
Japan	Asia	65.1220512820513	0.352904195804195	1.70426473670267
Nepal	Asia	34.431641025641	0.529261538461538	0.776597011655019
Singapore	Asia	61.8458846153846	0.340886013986014	0.460727981881751
Yemen, Rep.	Asia	30.1302820512821	0.60545944055944	2.28614129868618
